country_id,google_maps_url,openstreetmaps_url
67,https://goo.gl/maps/NWYMqZYXte4zGZ2Q8,https://www.openstreetmap.org/relation/195270
68,https://goo.gl/maps/Zm1AYCXb9HSNF1P27,https://www.openstreetmap.org/relation/1656678
69,https://goo.gl/maps/dMgEGuacBPGYQnjY7,https://www.openstreetmap.org/relation/304938
70,https://goo.gl/maps/LLcnofC5LxZsJXTo8,https://www.openstreetmap.org/relation/571802
71,https://goo.gl/maps/L2wyyn3cQ16PzQ5J8,https://www.openstreetmap.org/relation/1337397
72,https://goo.gl/maps/A1X7bMCKThBDNjzH6,https://www.openstreetmap.org/relation/161033
73,https://goo.gl/maps/JjmyUuULujnDeFPf7,https://www.openstreetmap.org/relation/58974
74,https://goo.gl/maps/xXiDQo65dwdpw9iu8,https://www.openstreetmap.org/relation/556706#map=5/-46.710/172.046
75,https://goo.gl/maps/cUY79eqQihFSE8hV6,https://www.openstreetmap.org/relation/88210
76,https://goo.gl/maps/8of8q7D1a8p7R6Fc9,https://www.openstreetmap.org/relation/192799
77,https://goo.gl/maps/4HhJ2jkPdSL9BPRcA,https://www.openstreetmap.org/relation/550728
78,https://goo.gl/maps/DFsme2xEeugUAsCx5,https://www.openstreetmap.org/relation/287083
79,https://goo.gl/maps/4DqVHDgVaFgnh8ZV8,https://www.openstreetmap.org/relation/62269
80,https://goo.gl/maps/6sTru4SmHdEVcNkM6,https://www.openstreetmap.org/relation/52939
81,https://goo.gl/maps/Mc7GqH466S7AAk297,https://www.openstreetmap.org/relation/7552779
82,https://goo.gl/maps/CzVqK74QYtbHv65r5,https://www.openstreetmap.org/relation/3412448
83,https://goo.gl/maps/WSk3fLwG4vtPQetp7,https://www.openstreetmap.org/relation/304716
84,https://goo.gl/maps/VKNU2TLsZcgxM49c8,https://www.openstreetmap.org/relation/192786
85,https://goo.gl/maps/DjvcESy1a1oGEZuNA,https://www.openstreetmap.org/relation/1231790
86,https://goo.gl/maps/KfhNVn6VqdZXWu8n9,https://www.openstreetmap.org/relation/192795
87,https://goo.gl/maps/Phf5dDDKdfCtuBTb6,https://www.openstreetmap.org/relation/192794
88,https://goo.gl/maps/7ecjaJXefjAQhxjGA,https://www.openstreetmap.org/relation/307756
89,https://goo.gl/maps/wKsmN7f5qAeNtGjP6,https://www.openstreetmap.org/relation/192779
90,https://goo.gl/maps/MNAWGq9vEdbZ9vUV7,https://www.openstreetmap.org/relation/536773
91,https://goo.gl/maps/2Aqof7aV2Naq8YEK8,https://www.openstreetmap.org/relation/1741311
92,https://goo.gl/maps/u9mYJkCB19wyuzh27,https://www.openstreetmap.org/relation/192785
93,https://goo.gl/maps/RsAyAfyaiNVb8DpW8,https://www.openstreetmap.org/relation/192756
94,https://goo.gl/maps/F3asVB7sRKgSnwbE7,https://www.openstreetmap.org/relation/49903
95,https://goo.gl/maps/JqiipHgFboG3rBJh9,https://www.openstreetmap.org/relation/192830
