country_id,timezone
244,UTC-06:00
244,UTC-07:00
244,UTC-08:00
245,UTC+11:00
246,UTC+11:00
247,UTC+01:00
248,UTC+12:00
249,UTC+13:00
250,UTC+08:00
251,UTC+12:00
252,UTC-05:00
253,UTC-10:00
253,UTC-11:00
253,UTC+12:00
